geneid	pval	up_down 	pathway_ids
HCON_00010565	0.419960711	none	ko00010,ko00230,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04910,ko04922,ko04930,ko04932,ko04950,ko05165,ko05203,ko05230,map00010,map00230,map00620,map01100,map01110,map01120,map01130,map01200,map01230,map04910,map04922,map04930,map04932,map04950,map05165,map05203,map05230
HCON_00010610	0.353897229	none	ko03013,map03013
HCON_00010615	0.129464308	none	ko03018,ko03040,map03018,map03040
HCON_00010620	0.032352018	UP	ko03008,map03008
HCON_00010630	0.00212518	UP	-
HCON_00010640	0.125137107	none	-
HCON_00010740	0.296844136	none	-
HCON_00010750	0.173789937	none	ko03040,map03040
HCON_00010760	0.415637976	none	-
HCON_00010790	0.232759336	none	-
HCON_00010800	0.006237067	UP	ko03040,map03040
